feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_170,feature_171,feature_172,feature_173,feature_174,feature_175,feature_176,feature_177,feature_178,feature_179,feature_180,emotion
-662.5537109,72.07278442,-9.70634079,22.8157711,2.810458899,6.673946381,-5.221106052,4.139007092,-7.371852398,1.44197762,4.175020218,-2.058071136,0.00955876,-0.667362988,0.396335572,-0.578030229,0.454107553,-3.767364502,3.908416271,-1.555941224,-1.49322319,-0.149747789,-2.16959095,-2.644120455,0.097157396,0.880699933,-1.760876775,2.068222046,-1.606247425,1.081563711,-0.595728278,-1.510245562,-0.183425501,0.447920024,0.698555708,1.333763957,0.074070737,-2.343659163,1.27964592,0.12825121,0.626019716,0.660263598,0.703510165,0.757407844,0.754621089,0.782622039,0.781994224,0.769762456,0.774128735,0.73987484,0.733098567,0.658475518,0.000238248,9.84E-05,0.003048876,0.007754106,0.012584485,0.032437343,0.039058786,0.023399977,0.014332734,0.019031685,0.017789112,0.036172405,0.058665629,0.098409683,0.040020723,0.030486317,0.012236074,0.009590164,0.012794804,0.009605326,0.014793023,0.01587382,0.0108375,0.020362509,0.025658676,0.021837313,0.018864779,0.02329088,0.038464211,0.017496143,0.006782908,0.002740447,0.005048465,0.002282821,0.000695118,0.000985636,0.002162439,0.011296732,0.007536941,0.004467702,0.003786071,0.003536467,0.008724079,0.01378563,0.008589288,0.005455571,0.002343162,0.00135312,0.000881436,0.000774866,0.001674631,0.00121358,0.001556832,0.00200302,0.001269774,0.002735383,0.002174296,0.000456533,0.000618541,0.00250978,0.001668063,0.000224584,0.000522386,0.002849193,0.001091657,0.000175064,0.000438266,0.000484527,0.000211163,0.000607985,0.000888065,0.000621429,0.00196794,0.000897715,0.00077477,0.000696524,0.000184762,0.000356898,0.000278682,0.000239865,0.000313405,0.000287379,0.00045109,0.000329197,0.000459525,0.000161603,0.000132202,5.97E-05,1.77E-05,1.08E-05,9.37E-06,1.40E-05,3.52E-05,2.87E-05,3.92E-05,5.75E-05,0.000125198,0.000146789,6.65E-05,8.97E-05,8.50E-05,8.71E-05,6.29E-05,5.31E-05,7.20E-05,7.17E-05,5.25E-05,2.27E-05,3.23E-05,3.17E-05,2.71E-05,1.50E-05,2.54E-05,1.49E-05,1.36E-05,3.63E-06,5.74E-07,9.26E-13,1.04E-13,5.38E-14,3.38E-14,2.37E-14,1.80E-14,1.45E-14,1.23E-14,1.08E-14,9.86E-15,9.33E-15,Happy
-655.7564087,62.9385643,-31.438097,13.20997238,-13.2856493,-8.2771492,-21.98218155,-11.88796997,-11.60164547,2.344079733,-12.33673763,-6.525299549,-5.318589687,-7.382582664,-0.928563476,-10.94544506,-5.717267036,-7.341807842,-4.901851654,-10.54114723,1.594330907,2.335771322,7.693753242,13.40500832,11.63826561,11.19288731,5.480712891,6.175307751,2.045069695,5.68879652,2.682971239,6.244390965,3.543958902,3.660619974,3.93949151,0.565727353,0.320821971,-0.896903098,2.896318436,1.361746907,0.632987678,0.608573735,0.62247932,0.599686801,0.531126022,0.502423465,0.512871802,0.541585863,0.655810475,0.722467124,0.72183156,0.678992152,8.32E-06,1.05E-06,5.41E-07,2.75E-07,5.68E-07,0.000115017,0.000931351,0.007453654,0.024021519,0.046690308,0.070991881,0.054820146,0.009656042,0.000813362,0.00027241,0.003813128,0.007006579,0.006381511,0.011930569,0.018752418,0.028523451,0.046541516,0.042476337,0.053082127,0.036717325,0.006302262,0.00298868,0.00211452,0.006358987,0.024599126,0.011305717,0.020577369,0.066586398,0.027540918,0.005927461,0.002444475,0.001066381,0.000771739,0.01225645,0.012932241,0.001550439,0.000823387,0.002102219,0.002529856,0.000885179,0.000963962,0.000666753,0.00168706,0.001104195,0.001538743,0.001869824,0.002542716,0.001560078,0.001465568,0.005185122,0.001101233,0.001762683,0.004389411,0.002377132,0.001566298,0.005197812,0.003199808,0.002315767,0.000500146,0.000503449,0.000756391,0.000232507,0.000220709,0.000131686,0.000680067,0.000252548,0.000165281,0.000242769,0.000341991,0.000204512,0.000491885,0.000311089,0.000433869,0.000230033,6.64E-05,0.000117605,0.000100636,4.37E-05,7.28E-05,4.98E-05,8.54E-05,0.000106558,0.000157685,0.000150253,0.000217298,0.000169955,0.00013,4.60E-05,4.31E-05,1.79E-05,8.42E-06,5.79E-06,6.49E-06,6.34E-06,1.07E-05,1.57E-05,2.14E-05,2.38E-05,3.02E-05,8.44E-05,4.91E-05,3.53E-05,2.81E-05,2.43E-05,1.94E-05,1.55E-05,2.31E-05,2.10E-05,1.97E-05,1.28E-05,8.57E-06,3.14E-06,7.30E-12,2.54E-13,1.70E-13,1.28E-13,1.04E-13,8.75E-14,7.65E-14,6.88E-14,6.34E-14,5.99E-14,5.78E-14,Fearful
-544.4575806,81.83429718,-24.4065609,25.56799507,-13.25874138,16.53820038,-29.47486877,3.833882093,-7.891382694,-3.676299572,8.822868347,-8.482854843,-1.388516903,-0.988778889,-3.387393951,-0.322858036,1.592198014,-6.76429224,3.681361198,-8.471932411,-3.837508202,-0.623925507,-3.807500839,-3.313387394,-2.402506113,-0.150548637,-3.589421749,0.71282357,-1.049648881,-0.721239507,-3.084038019,-0.704102337,-3.811960459,-2.397724152,-1.44912529,0.41469869,-1.886727095,-3.811741352,-1.484678268,-2.253760815,0.537618339,0.510225773,0.600476205,0.651249468,0.739751935,0.669758141,0.666308165,0.663071096,0.693095446,0.687600434,0.666464984,0.664502561,0.00389985,5.95E-05,0.000359328,0.019110141,0.107770398,0.380470365,0.146085218,0.007297058,0.032535411,0.06955447,0.096802488,0.249261498,0.287719309,0.038143858,0.06508182,0.049514484,0.143411234,0.243760407,0.355318993,0.095754743,0.023255246,0.070132658,0.258956105,0.200819999,0.137750372,0.016244913,0.011907569,0.182926223,0.195414379,0.084587298,0.049291864,0.008922718,0.039177056,0.103176646,0.016678272,0.007055267,0.020783473,0.009838993,0.028204342,0.025868831,0.004037471,0.00481025,0.025310742,0.068089917,0.067579277,0.007906451,0.002757099,0.007169745,0.039667729,0.0102197,0.002191646,0.006477381,0.026650539,0.01252123,0.003978337,0.00294741,0.008079124,0.010340991,0.002703015,0.003463509,0.008418184,0.00695765,0.004867623,0.007954171,0.008978331,0.002002222,0.002648593,0.004914041,0.0010011,0.002845493,0.00421195,0.002259996,0.00505354,0.006889998,0.006909033,0.003913714,0.001676382,0.001108769,0.00069355,0.000648241,0.000742719,0.001116188,0.000615912,0.001610383,0.000910844,0.000472742,0.000213054,0.000181438,0.000124908,0.000109687,6.09E-05,6.87E-05,8.04E-05,0.000153006,0.000387651,0.00072651,0.000898765,0.000924606,0.001596236,0.002294242,0.003020835,0.003113533,0.003758693,0.004779371,0.005601898,0.003969966,0.003089959,0.00242307,0.001852194,0.00339379,0.003199895,0.002803021,0.001059367,0.000468989,0.000349129,0.00018749,4.64E-05,2.66E-11,1.89E-12,1.23E-12,8.62E-13,6.30E-13,4.70E-13,3.58E-13,2.77E-13,2.20E-13,1.82E-13,1.60E-13,Calm
-754.8497314,57.67715836,-14.74045277,15.35711098,-17.52771187,3.595732927,-15.91958904,-5.641364098,-12.60414124,-2.82583189,-7.7710495,-4.250823021,-5.495975494,-6.815433025,0.387758374,-9.766623497,-0.783336401,-6.901920795,-2.572373152,-5.008676052,-1.990592122,-1.425907731,-0.48346594,1.521699786,0.92321384,2.153031588,-2.409620762,1.202052236,0.337593615,4.199795723,3.510791063,6.894725323,6.531784534,5.898034096,4.737091064,2.42194581,0.788645387,-3.440967321,-0.837627709,-1.099615812,0.453307301,0.452496827,0.496625036,0.443966955,0.425413638,0.408084124,0.442438543,0.570070684,0.583224714,0.562311471,0.574117124,0.669631124,1.11E-06,8.64E-07,2.44E-06,1.59E-06,2.60E-06,4.95E-06,0.001124781,0.015074209,0.022252794,0.008873275,0.020117464,0.010110541,0.000468858,0.000207436,0.001713558,0.005485995,0.006940305,0.005487098,0.001909873,0.000561923,0.003527326,0.007200073,0.014076673,0.009898375,0.003807055,0.005932024,0.00201363,0.000151005,2.63E-05,5.81E-05,0.002019153,0.001969861,0.001317074,0.001474933,0.001194396,0.000620792,0.000133882,0.000124122,0.000973947,0.00051932,0.000483518,0.000768152,0.001018229,0.000335777,0.000152997,0.000448887,0.000154288,0.00029239,0.000447734,0.000736668,0.000179691,0.000335797,0.000149099,0.000252097,0.000112523,0.00010858,0.000216001,8.61E-05,4.08E-05,0.000106181,0.000244301,6.59E-05,1.38E-05,2.88E-05,4.24E-05,4.39E-05,2.61E-05,3.66E-06,1.26E-05,8.44E-06,1.31E-05,1.86E-05,1.71E-05,1.04E-05,2.19E-05,2.77E-05,8.21E-06,1.92E-05,1.22E-05,2.44E-05,2.02E-05,1.61E-05,1.11E-05,1.15E-05,1.42E-05,1.64E-05,1.64E-05,1.18E-05,7.66E-06,9.70E-06,9.12E-06,1.44E-05,2.25E-05,2.00E-05,1.92E-05,1.12E-05,8.93E-06,5.93E-06,4.59E-06,3.70E-06,3.00E-06,4.04E-06,3.75E-06,4.96E-06,3.10E-06,6.57E-06,9.62E-06,1.42E-05,1.79E-05,4.67E-05,4.09E-05,3.80E-05,2.68E-05,1.63E-05,1.31E-05,1.43E-05,2.44E-06,2.26E-12,8.07E-15,3.95E-15,2.45E-15,1.72E-15,1.30E-15,1.05E-15,8.83E-16,7.73E-16,7.10E-16,6.70E-16,Calm
-617.890625,69.41275024,-9.823709488,20.11460304,-7.307896137,11.28219032,-13.04072094,-6.831803799,-3.115117311,7.316837311,-4.499624252,-0.166521937,1.774322867,-0.333980322,6.651918411,-0.738206089,-0.849245191,-7.152341843,-0.117587321,-7.886077881,-2.308364868,-2.784347773,-3.499912977,-1.527154922,-0.10848017,2.178032875,-4.633368969,2.837819099,-0.502284229,3.833225489,5.290005684,5.110932827,6.024845123,6.529157639,6.996538162,4.230281353,3.257603884,0.019963725,2.387049437,0.62211895,0.577052414,0.562406719,0.545447707,0.514642835,0.549398005,0.649878085,0.711060643,0.728056312,0.755155504,0.757593095,0.705815554,0.616529524,3.83E-05,0.000218887,0.000402511,0.000300279,0.000200493,0.002832467,0.074834317,0.475118995,0.427431792,0.150708869,0.077852823,0.011041532,0.002715106,0.015653245,0.132424712,0.154452428,0.260340244,0.068035662,0.045560602,0.02157622,0.008953639,0.009737443,0.030204942,0.03729308,0.01628061,0.022585342,0.043842208,0.008880815,0.00146661,0.004750568,0.010414193,0.007099411,0.008877109,0.008725662,0.015463827,0.038017005,0.008777372,0.004092349,0.001422041,0.001943293,0.00347643,0.00314449,0.00117944,0.000881769,0.001564306,0.001627726,0.000866005,0.000598814,0.001668221,0.00161202,0.000763005,0.001158564,0.000968563,0.000994975,0.000837066,0.002353779,0.001919832,0.001689313,0.001611636,0.002100114,0.001875479,0.001613929,0.001342589,0.001075739,0.000793076,0.000709627,0.000319514,0.000402064,0.000365474,0.000450923,0.000546798,0.000572392,0.000608678,0.00064671,0.000326766,0.000291194,0.000206409,0.000116705,6.94E-05,8.39E-05,0.000149729,0.000133969,0.000432076,0.000641561,0.000610112,0.001071567,0.001459345,0.001763599,0.002236343,0.000654575,0.000469296,0.000781226,0.001915399,0.001620498,0.001206482,0.000729615,0.000398623,0.000131384,7.44E-05,8.90E-05,0.000213177,0.000364144,0.000354521,0.000554947,0.000520321,0.00046221,0.000420816,0.000234608,0.000100933,8.94E-05,0.00015415,0.000478906,0.00046045,0.000433164,0.000257877,0.000154436,2.14E-05,4.51E-11,2.99E-13,3.06E-13,3.09E-13,3.08E-13,3.06E-13,3.03E-13,3.01E-13,2.99E-13,2.97E-13,2.96E-13,Fearful
-550.4891357,75.25528717,-22.73270988,15.93973351,-6.745737076,7.807339191,-21.06330299,-5.936313152,-13.11931705,-7.020400047,3.018804312,-7.852429867,-3.856649876,-3.842754602,-3.801510572,-3.411636829,-2.103046656,-6.034792423,-2.319295406,-6.752269268,-4.742827892,-5.066698551,-3.268074274,-4.983256817,-4.834918022,-1.045954227,-5.054730415,-0.189312935,-2.52134943,-2.122469187,-1.032239676,-0.29103604,1.321559548,3.731999159,2.646477938,0.674318552,-1.232312679,-5.469473839,-2.4306705,0.858726084,0.561231911,0.523486555,0.586556017,0.695783317,0.695539773,0.657001078,0.669375896,0.666688323,0.727696359,0.72974956,0.63805896,0.627854764,0.002312165,3.36E-05,0.000315283,0.002553715,0.03741926,0.135287836,0.065048777,0.117064774,0.080842853,0.046293892,0.096104801,0.079547681,0.073466696,0.042485721,0.224709585,0.79469794,0.46892646,0.149701357,0.176415592,0.09739197,0.06641306,0.099581316,0.328068256,0.504446507,0.199823841,0.017868849,0.003946515,0.007149968,0.082703039,0.142785847,0.056040496,0.05202968,0.025105394,0.008351285,0.008467676,0.010040616,0.005822045,0.005543988,0.020757699,0.014508726,0.00775428,0.00481443,0.001509285,0.002960331,0.007494673,0.047398005,0.029790761,0.00484807,0.00328312,0.006232354,0.00851715,0.018410988,0.030068623,0.047640413,0.009011406,0.010959113,0.012064526,0.010908084,0.004437343,0.004170579,0.003744747,0.003225161,0.014735435,0.017677333,0.006635,0.004195394,0.002690784,0.002101714,0.003359706,0.001964926,0.002675554,0.005832228,0.003325013,0.002529684,0.002487633,0.001648198,0.000923365,0.000988962,0.001117564,0.001168466,0.001218181,0.001065041,0.000861243,0.000503826,0.000973532,0.000601474,0.00056453,0.0001898,0.000188794,0.000121276,0.000105933,0.000136888,0.000158121,0.000168528,0.000196486,0.000251781,0.000179014,0.000193546,0.000206816,0.000434323,0.000462413,0.000455405,0.000598764,0.000710002,0.000625427,0.000473052,0.000525671,0.000446271,0.000305933,0.000585559,0.000749275,0.001132579,0.000806438,0.0003244,0.000165048,0.000123012,2.58E-05,7.19E-11,3.10E-12,2.03E-12,1.57E-12,1.32E-12,1.16E-12,1.05E-12,9.81E-13,9.29E-13,8.95E-13,8.75E-13,Happy
-774.6714478,53.78373718,-18.8313446,26.53745651,-18.61946106,5.491104126,-23.9368248,-9.214712143,-8.645738602,-1.367649317,-8.269353867,-2.666193485,-2.46492219,-4.619675636,-0.957701802,-9.829628944,-1.227170348,-5.186930656,-1.682045937,-6.4366436,0.837485492,-4.064285755,-0.76186347,0.592141509,-1.151778221,1.691265345,2.038673162,5.858746529,2.903580189,10.38476944,5.182434559,8.726581573,5.486215591,6.61344099,5.568612099,2.115107298,3.152981758,-0.206520557,1.56111753,-1.09327817,0.711348951,0.462608486,0.463392466,0.454909414,0.433938265,0.444140166,0.447194725,0.486455858,0.515913367,0.573434591,0.62411201,0.82249409,1.54E-06,1.09E-06,8.98E-07,1.76E-07,1.82E-07,9.04E-06,0.001156534,0.015158826,0.019658776,0.004345718,0.000694793,0.000124852,4.04E-05,9.03E-05,0.002396713,0.002848507,0.004095552,0.008061799,0.005929117,0.00242691,0.00033231,0.001166435,0.003736415,0.00129717,0.000359129,0.00140677,0.002410059,0.000565622,0.000612872,0.000609314,0.000245036,4.54E-05,5.04E-05,4.31E-05,8.83E-05,0.000114747,6.10E-05,0.000115179,3.28E-05,6.19E-06,9.65E-06,1.19E-05,7.73E-05,0.000217564,0.000150775,4.64E-05,5.51E-06,9.92E-06,1.62E-05,2.01E-05,2.33E-05,1.40E-05,7.79E-06,1.33E-05,5.06E-05,9.67E-05,2.49E-05,3.79E-05,4.21E-05,8.61E-05,5.63E-05,4.11E-05,4.22E-05,4.02E-05,3.16E-05,1.37E-05,1.63E-05,3.29E-05,1.62E-05,8.65E-06,1.62E-05,5.67E-06,4.74E-06,6.74E-06,4.14E-06,5.25E-06,1.39E-05,1.18E-05,1.66E-05,1.45E-05,5.38E-06,5.94E-06,4.62E-06,6.24E-06,4.78E-06,7.16E-06,1.06E-05,1.76E-05,3.25E-05,3.67E-05,4.69E-05,4.99E-05,4.46E-05,5.68E-05,5.27E-05,5.63E-05,4.06E-05,3.22E-05,2.55E-05,2.93E-05,3.05E-05,2.34E-05,2.00E-05,2.84E-05,2.35E-05,1.59E-05,1.53E-05,1.28E-05,7.05E-06,6.21E-06,7.48E-06,8.29E-06,9.13E-06,8.64E-06,9.63E-06,7.37E-06,1.51E-06,5.28E-12,1.55E-14,8.87E-15,6.13E-15,4.64E-15,3.70E-15,3.08E-15,2.67E-15,2.39E-15,2.20E-15,2.11E-15,Fearful
-630.1276855,96.34209442,0.191518173,29.04173279,2.36484623,8.211560249,-1.200008392,3.805302143,-4.355345726,-1.307897806,-2.408197641,3.59513092,-0.644336641,-1.087152123,5.083483219,-2.938429117,2.982690334,-2.503177643,4.478879452,-0.674529552,-0.659415781,1.118754029,-2.772757053,0.753459275,-1.630253315,0.080865011,-1.713063478,-0.152216345,-1.581705928,0.826056778,0.997864306,-0.131756455,0.793649554,-1.763377786,0.148097336,0.831802726,0.821583092,1.364646673,-0.45519194,-1.680190802,0.65503943,0.673677981,0.710202813,0.677904963,0.632848501,0.601385832,0.618912995,0.658422828,0.618188143,0.641530812,0.687240124,0.701853573,0.001393128,0.000223784,0.00021449,0.009792229,0.097046569,0.107769728,0.012212676,0.003129994,0.01941281,0.07083907,0.054683488,0.038959656,0.008405821,0.014637387,0.036587991,0.030769819,0.09915214,0.058754254,0.031401347,0.019213937,0.019541234,0.023733661,0.050639622,0.070645407,0.023136485,0.02115543,0.02112213,0.020872539,0.029126521,0.017454805,0.004114641,0.004316795,0.004776467,0.006790074,0.00958635,0.008089218,0.007826907,0.011031126,0.004863409,0.00609058,0.010429074,0.013676116,0.012594952,0.004209981,0.001534094,0.001561998,0.003888609,0.002301785,0.000648177,0.001847869,0.002004102,0.000589811,0.000561112,0.001056339,0.000591185,0.000512668,0.000574074,0.000277606,0.000347783,0.001277513,0.000602247,0.000187247,0.000720249,0.000420131,0.000250702,0.000354245,0.000161127,0.0002214,0.000371556,0.000246094,0.000820519,0.000522219,0.00090144,0.00070794,0.000595765,0.000366368,0.000230672,0.000159299,0.000142589,0.000106805,0.000131567,0.000134652,0.000174449,0.000148167,0.000132196,0.000109517,0.000134992,0.000157733,0.000129698,0.000213595,0.00017726,9.06E-05,8.53E-05,0.000106836,0.000136988,0.000272915,0.000291661,0.000300748,0.000355739,0.00030467,0.000186983,0.000136462,0.00011747,8.18E-05,7.94E-05,7.25E-05,0.000117905,0.00012207,9.83E-05,4.99E-05,6.41E-05,7.49E-05,7.06E-05,4.05E-05,2.09E-05,1.13E-05,3.28E-06,5.26E-12,1.47E-12,1.19E-12,1.03E-12,9.18E-13,8.42E-13,7.86E-13,7.45E-13,7.15E-13,6.95E-13,6.83E-13,Calm
-480.8710327,54.05366898,-36.66517258,16.57932472,-13.60505867,-4.400942326,-17.9324913,-11.28189468,-14.12425423,4.340520382,-8.953338623,-9.268346786,2.331776142,-8.348466873,0.724286079,-3.910518646,-3.849824429,-2.847593546,5.696718693,3.276536465,12.05101204,10.82054424,3.467215776,6.066570759,-1.846349001,2.485969067,2.225889206,2.652779818,1.867757559,-0.42836386,-0.44245854,-0.740071476,-1.964348555,-0.145702168,-0.034300677,-1.090484738,-0.717427075,-2.426586866,1.450488806,1.754412413,0.553695083,0.527473748,0.565983176,0.603704095,0.698886752,0.709916711,0.639838338,0.599476159,0.642820001,0.689894438,0.717098713,0.611126959,5.29E-05,0.000397554,0.000625138,0.000348723,0.000175606,0.000259211,0.0004675,0.019023472,0.238033772,0.470782131,0.845769703,3.429046631,6.042115211,4.839867592,2.22961545,0.19870469,0.019995367,0.279076636,0.319050491,0.12945208,0.165471911,0.357357293,1.158094168,0.866056561,0.666449845,3.842045307,3.702498198,1.054538965,0.334761202,0.081170775,0.026573753,0.030832071,0.070478618,0.157223791,0.12154118,0.120215312,0.192167088,0.300640047,1.132538438,1.299761057,0.593961954,0.243895769,0.069972217,0.028144648,0.065553203,0.082426056,0.05990231,0.051271506,0.052697271,0.031944644,0.038563158,0.123255588,0.109322451,0.076966427,0.02052876,0.021743301,0.041789643,0.063852087,0.059460778,0.062964,0.073355243,0.100217737,0.067551814,0.060362954,0.032200236,0.038270187,0.032625876,0.018680776,0.016905846,0.019619815,0.029917415,0.015361058,0.012436283,0.01476838,0.008775866,0.012822507,0.00754756,0.004421307,0.005265131,0.005382057,0.006656681,0.004263835,0.008299088,0.015964804,0.013055536,0.013915947,0.015477508,0.019210439,0.011617308,0.007159231,0.005110465,0.003970456,0.001699131,0.001590701,0.000891418,0.000964607,0.00113218,0.001484485,0.001680533,0.001844206,0.002651037,0.003299078,0.003310905,0.004442534,0.00210912,0.000989783,0.000635523,0.000490976,0.000620246,0.001802367,0.001890119,0.001591742,0.001041207,0.000677502,0.000348272,0.000148334,6.57E-05,2.38E-11,6.37E-13,5.01E-13,4.36E-13,3.98E-13,3.71E-13,3.49E-13,3.33E-13,3.22E-13,3.15E-13,3.13E-13,Fearful
-565.9347534,39.69796753,-27.17929459,11.58888435,-18.75586891,2.209300756,-12.64084721,-11.74104309,-14.16239643,-1.225275517,-6.721392632,-8.529047966,-3.310280323,-1.614145398,-2.24917388,-5.81495142,1.24038744,-5.213890553,4.333048344,3.495287418,6.368610382,5.427515984,2.413314104,1.671996832,0.384303868,2.612827301,-0.1973304,1.35253036,-2.141107798,-1.75711906,-3.126649618,-0.640539825,-0.591437519,-1.430484176,-1.68802166,-1.060576081,-0.407830447,-0.654693842,0.052625641,-1.099541783,0.68148011,0.473290503,0.450232595,0.455589294,0.510422051,0.606735051,0.577403426,0.574241877,0.594431102,0.568151832,0.526667178,0.611475885,8.32E-06,2.83E-05,4.84E-05,4.60E-05,4.16E-05,7.57E-05,0.000314659,0.009673057,0.043410968,0.223849714,0.24580799,0.31917879,0.66171813,0.532901466,0.799000323,0.214360505,0.006822089,0.002106837,0.049169324,0.509159267,0.398079246,0.17827785,0.08195816,0.094500169,0.12678805,0.23736538,0.089889057,0.006278232,0.013572467,0.013487786,0.021215513,0.027792571,0.048427176,0.031654589,0.023171846,0.019001629,0.034433905,0.037747905,0.095127627,0.043857463,0.017267665,0.006141195,0.006994254,0.007747243,0.009641126,0.009743073,0.008740742,0.011517916,0.020589853,0.050949283,0.022461515,0.031266037,0.031483427,0.028238773,0.025973668,0.032488059,0.062431749,0.041142602,0.028512595,0.00814889,0.008075361,0.010855233,0.007062767,0.007887144,0.00974604,0.002104138,0.001442968,0.001544708,0.002143249,0.002553585,0.001646569,0.000950439,0.00049785,0.000579616,0.000818649,0.001301466,0.001338983,0.001347704,0.001670667,0.002905483,0.004718349,0.009784285,0.007159487,0.00235881,0.002627412,0.002541445,0.001413619,0.001088722,0.000708315,0.000759814,0.001009121,0.000823487,0.001440141,0.003929363,0.00318903,0.002252482,0.002149528,0.000974235,0.000443904,0.000497539,0.00052258,0.000981966,0.000952334,0.000757244,0.000502299,0.000839268,0.000300507,0.000357962,0.000328371,0.000373886,0.000746123,0.000945011,0.000660806,0.00063474,0.00040032,0.00019258,4.05E-05,3.19E-11,4.56E-13,1.63E-13,8.24E-14,4.99E-14,3.41E-14,2.53E-14,2.02E-14,1.73E-14,1.51E-14,1.42E-14,Fearful
